origin,Destination,Chargeable Wt,Mode,Nature of Consignment,Historical_Delivery_Days
Lucknow,Delhi,3.77,Air Cargo,Non-Dox,3
Nashik,Bhubaneswar,6.8,Surface,Non-Dox,5
Ahmedabad,Aurangabad,4.8,Surface,Dox,3
Lucknow,Indore,11.24,Express,Non-Dox,2
Patna,Amritsar,9.91,Express,Non-Dox,2
Dehradun,Guwahati,2.12,Air Cargo,Non-Dox,3
Guwahati,Raipur,7.85,Surface,Non-Dox,5
Ahmedabad,Indore,8.57,Air Cargo,Non-Dox,5
Kochi,Meerut,7.94,Air Cargo,Dox,5
Delhi,Lucknow,7.44,Express,Dox,2
Meerut,Srinagar,6.5,Express,Dox,2
Vijayawada,Thiruvananthapuram,6.41,Surface,Non-Dox,5
Dehradun,Varanasi,5.17,Surface,Non-Dox,5
Nashik,Pune,8.38,Air Cargo,Dox,5
Chennai,Ahmedabad,5.39,Air Cargo,Non-Dox,5
Patna,Srinagar,11.47,Surface,Dox,5
Amritsar,Agra,7.7,Express,Dox,2
Chennai,Jaipur,13.45,Surface,Non-Dox,5
Jamshedpur,Hyderabad,6.75,Surface,Dox,5
Ludhiana,Kolkata,7.76,Surface,Dox,5
Jaipur,Chandigarh,12.54,Air Cargo,Dox,5
Bhubaneswar,Patna,13.02,Air Cargo,Non-Dox,5
Bhubaneswar,Nagpur,10.74,Surface,Dox,5
Meerut,Thiruvananthapuram,8.34,Surface,Dox,5
Agra,Patna,12.06,Surface,Non-Dox,5
Hyderabad,Agra,11.55,Surface,Non-Dox,5
Jamshedpur,Agra,9.1,Surface,Dox,5
Pune,Amritsar,9.41,Surface,Non-Dox,5
Aurangabad,Jamshedpur,8.53,Express,Dox,2
Vijayawada,Coimbatore,2.55,Surface,Non-Dox,3
Guwahati,Kochi,2.02,Air Cargo,Non-Dox,3
Mumbai,Agra,8.6,Air Cargo,Dox,5
Shimla,Dehradun,10.4,Air Cargo,Non-Dox,5
Delhi,Lucknow,12.58,Surface,Dox,5
Shimla,Chennai,8.55,Surface,Non-Dox,5
Chandigarh,Dehradun,4.37,Surface,Non-Dox,3
Meerut,Vizag,3.5,Express,Non-Dox,2
Agra,Jaipur,11.5,Air Cargo,Dox,5
Guwahati,Shimla,8.61,Air Cargo,Non-Dox,5
Amritsar,Dehradun,12.08,Air Cargo,Dox,5
Kolkata,Delhi,4.85,Surface,Dox,3
Vijayawada,Shimla,1.23,Surface,Dox,3
Dehradun,Hyderabad,8.07,Air Cargo,Dox,5
Vizag,Thiruvananthapuram,8.03,Surface,Non-Dox,5
Meerut,Bhubaneswar,3.68,Air Cargo,Dox,3
Dehradun,Bhubaneswar,12.48,Surface,Dox,5
Guwahati,Bangalore,5.71,Surface,Non-Dox,5
Nashik,Amritsar,9.06,Express,Non-Dox,2
Patna,Coimbatore,6.52,Surface,Dox,5
Thiruvananthapuram,Hyderabad,2.98,Surface,Non-Dox,3
Bhopal,Vizag,7.7,Surface,Non-Dox,5
Coimbatore,Surat,10.7,Surface,Dox,5
Chennai,Agra,2.4,Surface,Dox,3
Kolkata,Bhopal,5.78,Surface,Non-Dox,5
Vizag,Aurangabad,10.8,Surface,Non-Dox,5
Indore,Hyderabad,2.83,Surface,Dox,3
Agra,Amritsar,8.84,Surface,Dox,5
Bhubaneswar,Srinagar,13.16,Express,Non-Dox,2
Bangalore,Bhubaneswar,3.68,Surface,Non-Dox,3
Varanasi,Coimbatore,6.24,Express,Dox,2
Delhi,Vizag,1.51,Surface,Dox,3
Delhi,Jaipur,7.68,Surface,Dox,5
Lucknow,Indore,5.67,Surface,Non-Dox,5
Aurangabad,Surat,10.13,Express,Dox,2
Ranchi,Patna,2.08,Surface,Dox,3
Hyderabad,Raipur,1.64,Air Cargo,Dox,3
Raipur,Ranchi,7.48,Surface,Dox,5
Jamshedpur,Bhubaneswar,4.42,Air Cargo,Dox,3
Lucknow,Bangalore,3.3,Surface,Non-Dox,3
Bhopal,Coimbatore,2.49,Surface,Dox,3
Delhi,Meerut,5.11,Express,Non-Dox,2
Nashik,Mumbai,2.23,Surface,Dox,3
Coimbatore,Indore,13.76,Express,Dox,2
Patna,Surat,6.78,Surface,Non-Dox,5
Delhi,Kochi,9.22,Express,Dox,2
Coimbatore,Raipur,4.33,Surface,Dox,3
Thiruvananthapuram,Jamshedpur,8.46,Surface,Dox,5
Amritsar,Jamshedpur,2.35,Air Cargo,Non-Dox,3
Jamshedpur,Raipur,5.26,Surface,Non-Dox,5
Nashik,Amritsar,3.45,Express,Dox,2
Delhi,Bhopal,2.34,Surface,Non-Dox,3
Meerut,Chennai,5.3,Surface,Dox,5
Indore,Chandigarh,9.51,Express,Dox,2
Delhi,Shimla,11.44,Surface,Dox,5
Raipur,Patna,8.21,Express,Non-Dox,2
Bhubaneswar,Ludhiana,6,Surface,Non-Dox,5
Mumbai,Guwahati,4.63,Air Cargo,Non-Dox,3
Ludhiana,Bangalore,8.48,Surface,Non-Dox,5
Vijayawada,Jamshedpur,5.53,Surface,Non-Dox,5
Lucknow,Jaipur,3.93,Surface,Non-Dox,3
Lucknow,Coimbatore,8.8,Express,Dox,2
Patna,Agra,9.63,Air Cargo,Non-Dox,5
Amritsar,Chennai,13.24,Surface,Non-Dox,5
Kochi,Thiruvananthapuram,10.14,Air Cargo,Dox,5
Guwahati,Coimbatore,7.03,Surface,Dox,5
Ludhiana,Jaipur,5.13,Express,Non-Dox,2
Surat,Kolkata,11.34,Surface,Dox,5
Ranchi,Nagpur,12.6,Express,Dox,2
Lucknow,Aurangabad,13.24,Express,Non-Dox,2
Dehradun,Delhi,7.95,Surface,Dox,5
Kochi,Delhi,6.07,Express,Non-Dox,2
Patna,Ranchi,4.85,Surface,Dox,3
Jamshedpur,Shimla,9.82,Surface,Non-Dox,5
Ludhiana,Ahmedabad,4.05,Surface,Non-Dox,3
Ahmedabad,Delhi,8.11,Surface,Non-Dox,5
Aurangabad,Raipur,6.93,Air Cargo,Dox,5
Chandigarh,Agra,6.18,Surface,Dox,5
Patna,Surat,9.91,Surface,Dox,5
Chennai,Nashik,12.69,Surface,Non-Dox,5
Vijayawada,Mumbai,8.87,Air Cargo,Non-Dox,5
Vijayawada,Ahmedabad,11.95,Surface,Dox,5
Surat,Agra,11.05,Surface,Dox,5
Lucknow,Kochi,12.36,Surface,Dox,5
Bhubaneswar,Guwahati,9.85,Express,Dox,2
Aurangabad,Surat,6.95,Air Cargo,Dox,5
Indore,Varanasi,6.71,Surface,Dox,5
Bangalore,Ahmedabad,6.77,Surface,Non-Dox,5
Kolkata,Jaipur,6.73,Surface,Dox,5
Mumbai,Coimbatore,2.16,Surface,Non-Dox,3
Agra,Ahmedabad,9.36,Surface,Non-Dox,5
Varanasi,Dehradun,2.89,Surface,Non-Dox,3
Nagpur,Ahmedabad,2.89,Air Cargo,Dox,3
Srinagar,Chandigarh,8.92,Surface,Dox,5
Mumbai,Dehradun,4.41,Surface,Non-Dox,3
Ranchi,Nagpur,12.25,Air Cargo,Non-Dox,5
Agra,Shimla,11.26,Express,Non-Dox,2
Vijayawada,Patna,13.04,Express,Non-Dox,2
Shimla,Patna,12.14,Surface,Dox,5
Guwahati,Ludhiana,11.06,Air Cargo,Dox,5
Amritsar,Chandigarh,9.98,Express,Non-Dox,2
Raipur,Ludhiana,8.61,Surface,Dox,5
Bhubaneswar,Meerut,9.87,Surface,Dox,5
Dehradun,Ahmedabad,8.92,Surface,Dox,5
Srinagar,Chennai,3.64,Air Cargo,Non-Dox,3
Nashik,Bhubaneswar,7.86,Surface,Non-Dox,5
Surat,Patna,3.04,Express,Non-Dox,2
Shimla,Surat,10.36,Air Cargo,Dox,5
Jamshedpur,Ludhiana,8.82,Express,Non-Dox,2
Ahmedabad,Kolkata,5.4,Express,Non-Dox,2
Thiruvananthapuram,Ranchi,8.47,Express,Non-Dox,2
Indore,Ludhiana,10.63,Surface,Non-Dox,5
Chandigarh,Thiruvananthapuram,8.38,Surface,Non-Dox,5
Kochi,Nagpur,4.14,Surface,Dox,3
Vizag,Chennai,10.32,Air Cargo,Non-Dox,5
Guwahati,Bangalore,10.47,Surface,Dox,5
Hyderabad,Mumbai,8.8,Air Cargo,Dox,5
Chandigarh,Bhubaneswar,6.13,Air Cargo,Non-Dox,5
Bhubaneswar,Chandigarh,3.14,Air Cargo,Non-Dox,3
Nagpur,Jaipur,1.22,Surface,Dox,3
Chennai,Vizag,13.58,Air Cargo,Non-Dox,5
Ranchi,Raipur,6.58,Surface,Dox,5
Ranchi,Varanasi,13.07,Surface,Non-Dox,5
Ranchi,Lucknow,13.47,Express,Non-Dox,2
Srinagar,Kochi,10.38,Express,Non-Dox,2
Kochi,Kolkata,11.51,Surface,Dox,5
Patna,Meerut,4.56,Surface,Dox,3
Ranchi,Ahmedabad,5.22,Air Cargo,Dox,5
Kochi,Patna,4.31,Surface,Non-Dox,3
Kolkata,Indore,6.19,Surface,Non-Dox,5
Ranchi,Guwahati,2.64,Surface,Dox,3
Patna,Nagpur,5.02,Surface,Non-Dox,5
Varanasi,Ahmedabad,9.69,Air Cargo,Non-Dox,5
Patna,Jamshedpur,5.72,Air Cargo,Non-Dox,5
Kochi,Guwahati,7.85,Surface,Non-Dox,5
Chennai,Mumbai,11.37,Air Cargo,Non-Dox,5
Vijayawada,Indore,13.74,Surface,Dox,5
Nagpur,Patna,7,Surface,Non-Dox,5
Jaipur,Aurangabad,9.58,Surface,Non-Dox,5
Thiruvananthapuram,Pune,6.65,Air Cargo,Non-Dox,5
Srinagar,Jaipur,8.68,Air Cargo,Non-Dox,5
Agra,Patna,5.1,Air Cargo,Non-Dox,5
Guwahati,Shimla,6.4,Surface,Non-Dox,5
Delhi,Kolkata,9.77,Surface,Non-Dox,5
Nashik,Bhopal,6.08,Surface,Dox,5
Nagpur,Ludhiana,7.42,Air Cargo,Non-Dox,5
Nashik,Aurangabad,8.01,Air Cargo,Dox,5
Varanasi,Vijayawada,13.69,Surface,Non-Dox,5
Chandigarh,Shimla,11.93,Surface,Dox,5
Vizag,Bhubaneswar,6.63,Air Cargo,Dox,5
Aurangabad,Indore,6.85,Surface,Non-Dox,5
Chandigarh,Amritsar,3.02,Express,Dox,2
Nashik,Aurangabad,3.69,Surface,Non-Dox,3
Chennai,Thiruvananthapuram,10.87,Surface,Dox,5
Vijayawada,Varanasi,10.62,Surface,Dox,5
Srinagar,Jamshedpur,4.61,Surface,Dox,3
Delhi,Meerut,8.89,Surface,Dox,5
Kochi,Pune,3.29,Surface,Non-Dox,3
Thiruvananthapuram,Guwahati,11.81,Surface,Non-Dox,5
Indore,Ludhiana,9.53,Air Cargo,Non-Dox,5
Patna,Nashik,5.42,Surface,Non-Dox,5
Chennai,Amritsar,6.14,Surface,Dox,5
Nashik,Lucknow,7.27,Surface,Dox,5
Shimla,Aurangabad,0.68,Surface,Dox,3
Nashik,Varanasi,11.49,Air Cargo,Dox,5
Lucknow,Vijayawada,2.45,Surface,Non-Dox,3
Nashik,Agra,9.55,Air Cargo,Dox,5
Jamshedpur,Amritsar,0.67,Express,Non-Dox,1
Ludhiana,Hyderabad,3.99,Air Cargo,Non-Dox,3
Shimla,Coimbatore,7.34,Surface,Dox,5
Jamshedpur,Ludhiana,10.97,Surface,Non-Dox,5
Delhi,Thiruvananthapuram,2.3,Air Cargo,Non-Dox,3
Bhopal,Kolkata,6.25,Surface,Non-Dox,5
Bhopal,Bangalore,6.71,Surface,Non-Dox,5
Nashik,Delhi,1.26,Air Cargo,Dox,3
Jaipur,Bhubaneswar,12.85,Surface,Non-Dox,5
Bangalore,Vizag,10.7,Express,Dox,2
Pune,Amritsar,11.85,Surface,Non-Dox,5
Vijayawada,Coimbatore,13.36,Surface,Dox,5
Bhopal,Agra,9.96,Surface,Dox,5
Coimbatore,Guwahati,2.33,Air Cargo,Non-Dox,3
Kolkata,Ludhiana,5.71,Surface,Dox,5
Jamshedpur,Vizag,7.79,Express,Non-Dox,2
Chennai,Ranchi,9.49,Air Cargo,Dox,5
Ahmedabad,Chennai,8.44,Surface,Non-Dox,5
Guwahati,Nashik,6.16,Surface,Dox,5
Ranchi,Indore,12.33,Surface,Dox,5
Bhubaneswar,Aurangabad,12.51,Express,Non-Dox,2
Vijayawada,Shimla,3.31,Surface,Non-Dox,3
Varanasi,Jaipur,10.92,Express,Non-Dox,2
Amritsar,Jaipur,5.29,Air Cargo,Non-Dox,5
Mumbai,Meerut,3.26,Express,Non-Dox,2
Thiruvananthapuram,Guwahati,4.6,Surface,Non-Dox,3
Raipur,Meerut,5.15,Surface,Dox,5
Delhi,Surat,13.8,Surface,Non-Dox,5
Ahmedabad,Kolkata,1.25,Surface,Dox,3
Nagpur,Shimla,5.14,Air Cargo,Dox,5
Thiruvananthapuram,Patna,11.87,Air Cargo,Non-Dox,5
Ludhiana,Dehradun,9.85,Surface,Non-Dox,5
Pune,Bhubaneswar,3.57,Air Cargo,Non-Dox,3
Chennai,Patna,14.25,Surface,Non-Dox,5
Bhopal,Ahmedabad,5.69,Surface,Dox,5
Bhubaneswar,Aurangabad,11.07,Express,Non-Dox,2
Hyderabad,Indore,10.75,Express,Non-Dox,2
Chandigarh,Nashik,9.01,Surface,Non-Dox,5
Vizag,Nagpur,4.1,Air Cargo,Non-Dox,3
Chandigarh,Nashik,1.4,Surface,Non-Dox,3
Vizag,Hyderabad,9.77,Surface,Dox,5
Chennai,Bangalore,7.63,Express,Non-Dox,2
Mumbai,Meerut,4.52,Express,Non-Dox,2
Vizag,Nagpur,14.03,Surface,Dox,5
Chandigarh,Varanasi,7.27,Express,Non-Dox,2
Jamshedpur,Srinagar,4.21,Surface,Dox,3
Vizag,Meerut,4.97,Surface,Non-Dox,3
Chennai,Patna,0.49,Surface,Non-Dox,3
Kochi,Lucknow,10.29,Surface,Non-Dox,5
Jamshedpur,Mumbai,8.37,Express,Non-Dox,2
Nagpur,Patna,12.41,Air Cargo,Dox,5
