Pickup_Location,Destination,Courier_Type,Historical_Deliveries,Actual_Delivery_Days
Pune,Kolkata,Same Day,6,7
Hyderabad,Mumbai,Same Day,6,6
Ahmedabad,Delhi,Standard,3,3
Chennai,Kolkata,Standard,1,2
Delhi,Chennai,Standard,7,6
Mumbai,Mumbai,Same Day,1,2
Bangalore,Pune,Express,7,6
Kolkata,Delhi,Express,5,4
Pune,Delhi,Same Day,5,6
Ahmedabad,Bangalore,Same Day,2,3
Delhi,Delhi,Same Day,7,8
Kolkata,Hyderabad,Express,6,7
Hyderabad,Pune,Same Day,1,1
Bangalore,Ahmedabad,Standard,7,7
Chennai,Chennai,Standard,4,4
Bangalore,Ahmedabad,Same Day,1,1
Hyderabad,Hyderabad,Standard,5,4
Mumbai,Bangalore,Same Day,4,4
Kolkata,Delhi,Same Day,4,5
Mumbai,Bangalore,Standard,7,6
Pune,Chennai,Express,6,5
Delhi,Hyderabad,Same Day,1,2
Bangalore,Ahmedabad,Standard,1,1
Bangalore,Ahmedabad,Same Day,4,5
Delhi,Ahmedabad,Same Day,5,5
Kolkata,Kolkata,Standard,6,6
Bangalore,Chennai,Standard,3,4
Kolkata,Kolkata,Express,3,3
Bangalore,Hyderabad,Standard,6,7
Hyderabad,Kolkata,Standard,6,5
Mumbai,Pune,Same Day,5,5
Bangalore,Pune,Standard,1,1
Mumbai,Hyderabad,Standard,7,8
Bangalore,Hyderabad,Standard,3,3
Ahmedabad,Delhi,Express,3,4
Kolkata,Kolkata,Standard,6,5
Delhi,Mumbai,Same Day,3,4
Hyderabad,Kolkata,Standard,7,8
Chennai,Kolkata,Express,1,1
Chennai,Hyderabad,Standard,1,1
Mumbai,Mumbai,Express,4,4
Mumbai,Mumbai,Standard,1,1
Bangalore,Chennai,Express,2,1
Pune,Kolkata,Same Day,7,8
Pune,Hyderabad,Express,1,1
Chennai,Kolkata,Same Day,3,4
Hyderabad,Mumbai,Same Day,6,6
Kolkata,Pune,Standard,3,4
Delhi,Mumbai,Standard,6,6
Delhi,Pune,Express,6,7
Mumbai,Chennai,Express,6,5
Chennai,Ahmedabad,Express,5,6
Hyderabad,Bangalore,Express,6,5
Bangalore,Pune,Same Day,5,5
Bangalore,Mumbai,Standard,1,1
Hyderabad,Bangalore,Same Day,7,8
Kolkata,Hyderabad,Standard,1,1
Hyderabad,Pune,Same Day,6,7
Delhi,Kolkata,Express,6,7
Bangalore,Bangalore,Standard,2,3
Kolkata,Kolkata,Express,6,5
Ahmedabad,Kolkata,Same Day,5,5
Hyderabad,Kolkata,Same Day,5,5
Bangalore,Ahmedabad,Same Day,4,5
Delhi,Bangalore,Express,7,7
Delhi,Bangalore,Express,4,4
Bangalore,Ahmedabad,Same Day,5,5
Delhi,Pune,Standard,6,5
Pune,Mumbai,Standard,2,3
Pune,Hyderabad,Express,6,5
Delhi,Pune,Standard,1,1
Kolkata,Mumbai,Same Day,7,8
Pune,Pune,Same Day,6,7
Hyderabad,Pune,Express,3,4
Bangalore,Bangalore,Standard,2,3
Pune,Kolkata,Same Day,5,4
Pune,Hyderabad,Same Day,5,5
Mumbai,Mumbai,Standard,6,6
Kolkata,Bangalore,Same Day,1,2
Mumbai,Hyderabad,Standard,3,3
Kolkata,Bangalore,Standard,2,3
Delhi,Bangalore,Express,2,1
Ahmedabad,Chennai,Standard,1,1
Hyderabad,Delhi,Express,4,5
Delhi,Kolkata,Standard,7,7
Hyderabad,Ahmedabad,Standard,7,8
Kolkata,Mumbai,Express,5,4
Bangalore,Pune,Same Day,2,1
Mumbai,Mumbai,Same Day,3,3
Mumbai,Mumbai,Standard,6,5
Kolkata,Delhi,Express,7,6
Kolkata,Pune,Same Day,4,4
Kolkata,Bangalore,Same Day,2,1
Bangalore,Hyderabad,Same Day,5,6
Kolkata,Pune,Express,5,4
Mumbai,Mumbai,Express,2,1
Pune,Pune,Same Day,7,8
Pune,Bangalore,Same Day,5,6
Ahmedabad,Kolkata,Same Day,2,3
Mumbai,Delhi,Same Day,2,1
Ahmedabad,Mumbai,Same Day,4,4
Hyderabad,Ahmedabad,Same Day,7,6
Bangalore,Kolkata,Express,5,5
Chennai,Kolkata,Express,4,4
Mumbai,Hyderabad,Same Day,7,7
Hyderabad,Pune,Same Day,1,1
Delhi,Bangalore,Standard,4,3
Ahmedabad,Bangalore,Express,7,8
Pune,Hyderabad,Same Day,2,1
Bangalore,Chennai,Express,5,6
Hyderabad,Chennai,Same Day,1,2
Bangalore,Bangalore,Standard,7,7
Delhi,Mumbai,Standard,1,1
Kolkata,Bangalore,Same Day,2,2
Delhi,Ahmedabad,Same Day,6,6
Chennai,Chennai,Standard,1,1
Chennai,Bangalore,Standard,5,6
Delhi,Mumbai,Same Day,7,8
Bangalore,Chennai,Express,6,6
Ahmedabad,Pune,Standard,7,8
Delhi,Chennai,Standard,2,1
Mumbai,Hyderabad,Same Day,6,5
Kolkata,Kolkata,Express,6,5
Bangalore,Hyderabad,Express,6,7
Chennai,Kolkata,Standard,5,4
Mumbai,Delhi,Same Day,1,1
Ahmedabad,Ahmedabad,Express,5,6
Delhi,Chennai,Same Day,2,1
Hyderabad,Kolkata,Same Day,2,3
Bangalore,Chennai,Same Day,1,1
Bangalore,Bangalore,Same Day,2,1
Chennai,Pune,Same Day,7,7
Pune,Kolkata,Express,5,6
Pune,Chennai,Express,7,7
Chennai,Kolkata,Standard,6,5
Pune,Pune,Same Day,5,6
Pune,Bangalore,Express,5,6
Hyderabad,Bangalore,Express,6,5
Mumbai,Kolkata,Express,7,7
Chennai,Pune,Standard,3,3
Delhi,Bangalore,Express,3,3
Kolkata,Hyderabad,Express,5,6
Pune,Kolkata,Same Day,5,5
Mumbai,Hyderabad,Express,2,2
Pune,Mumbai,Standard,1,1
Ahmedabad,Mumbai,Same Day,4,5
Delhi,Chennai,Same Day,2,3
Delhi,Chennai,Same Day,6,5
Pune,Hyderabad,Express,7,8
Chennai,Kolkata,Express,7,7
Hyderabad,Kolkata,Same Day,4,4
Pune,Mumbai,Standard,6,7
Kolkata,Hyderabad,Same Day,5,4
Hyderabad,Mumbai,Express,2,2
Mumbai,Pune,Same Day,3,4
Pune,Bangalore,Same Day,1,1
Delhi,Mumbai,Standard,1,2
Bangalore,Bangalore,Same Day,3,2
Mumbai,Ahmedabad,Express,2,3
Chennai,Kolkata,Same Day,6,7
Delhi,Chennai,Standard,7,8
Bangalore,Kolkata,Express,1,1
Ahmedabad,Hyderabad,Express,7,6
Chennai,Bangalore,Express,5,5
Bangalore,Delhi,Standard,5,6
Delhi,Chennai,Same Day,5,6
Hyderabad,Delhi,Express,2,3
Delhi,Delhi,Standard,2,3
Mumbai,Pune,Standard,3,3
Chennai,Kolkata,Express,4,5
Bangalore,Ahmedabad,Express,3,2
Pune,Kolkata,Express,2,1
Mumbai,Ahmedabad,Same Day,3,3
Hyderabad,Chennai,Standard,6,7
Chennai,Pune,Express,5,5
Hyderabad,Delhi,Express,1,1
Delhi,Kolkata,Standard,7,8
Mumbai,Chennai,Express,7,6
Pune,Delhi,Same Day,6,6
Bangalore,Chennai,Express,4,4
Chennai,Ahmedabad,Standard,6,6
Kolkata,Pune,Express,3,2
Hyderabad,Kolkata,Express,7,6
Ahmedabad,Pune,Same Day,2,3
Hyderabad,Kolkata,Express,7,8
Delhi,Ahmedabad,Standard,5,4
Delhi,Kolkata,Standard,6,6
Kolkata,Pune,Express,3,4
Mumbai,Kolkata,Standard,4,5
Hyderabad,Chennai,Standard,6,7
Ahmedabad,Kolkata,Same Day,1,1
Delhi,Hyderabad,Same Day,2,2
Bangalore,Chennai,Standard,4,3
Chennai,Delhi,Express,4,3
Hyderabad,Bangalore,Express,5,6
Kolkata,Pune,Express,5,6
Delhi,Chennai,Standard,4,4
Delhi,Chennai,Standard,4,5
Pune,Pune,Standard,7,7
Hyderabad,Bangalore,Express,7,7
Hyderabad,Mumbai,Express,3,2
Kolkata,Mumbai,Same Day,5,4
Ahmedabad,Chennai,Same Day,2,1
Bangalore,Mumbai,Standard,2,2
Chennai,Mumbai,Express,6,5
Delhi,Bangalore,Express,2,1
Pune,Chennai,Same Day,7,7
Delhi,Bangalore,Standard,1,1
Delhi,Pune,Same Day,4,5
Mumbai,Delhi,Same Day,5,4
Bangalore,Kolkata,Standard,5,4
Pune,Pune,Same Day,6,7
Delhi,Pune,Standard,5,6
Pune,Pune,Same Day,7,6
Chennai,Mumbai,Same Day,4,5
Pune,Ahmedabad,Standard,3,3
Ahmedabad,Mumbai,Standard,4,3
Pune,Kolkata,Same Day,5,6
Ahmedabad,Chennai,Standard,6,7
Delhi,Delhi,Standard,3,2
Hyderabad,Delhi,Express,2,1
Delhi,Kolkata,Express,7,8
Delhi,Bangalore,Express,1,1
Chennai,Hyderabad,Standard,4,3
Ahmedabad,Delhi,Same Day,5,5
Mumbai,Kolkata,Same Day,3,2
Bangalore,Pune,Standard,1,1
Kolkata,Ahmedabad,Standard,1,1
Ahmedabad,Mumbai,Express,1,2
Ahmedabad,Ahmedabad,Standard,5,4
Ahmedabad,Pune,Standard,1,1
Pune,Kolkata,Express,4,3
Delhi,Ahmedabad,Standard,5,6
Kolkata,Delhi,Express,4,4
Kolkata,Kolkata,Standard,5,5
Bangalore,Ahmedabad,Express,1,1
Bangalore,Ahmedabad,Standard,6,5
Kolkata,Chennai,Standard,6,5
Pune,Hyderabad,Same Day,2,3
Kolkata,Bangalore,Same Day,5,6
Delhi,Chennai,Same Day,5,5
Pune,Hyderabad,Express,7,6
Delhi,Hyderabad,Same Day,7,8
Ahmedabad,Delhi,Express,7,8
Ahmedabad,Hyderabad,Same Day,5,5
Delhi,Ahmedabad,Same Day,1,1
Pune,Chennai,Same Day,7,6
Hyderabad,Pune,Same Day,2,3
Ahmedabad,Mumbai,Standard,3,4
Pune,Delhi,Same Day,3,2
Delhi,Chennai,Same Day,7,6
Pune,Bangalore,Express,7,7
Chennai,Kolkata,Express,2,3
Chennai,Pune,Same Day,2,3
Delhi,Mumbai,Standard,1,2
Mumbai,Chennai,Express,3,4
Delhi,Chennai,Standard,4,3
Delhi,Ahmedabad,Standard,4,4
Mumbai,Pune,Standard,2,2
Ahmedabad,Chennai,Same Day,5,5
Chennai,Delhi,Same Day,2,1
Pune,Chennai,Express,7,6
Ahmedabad,Delhi,Express,5,6
Mumbai,Pune,Same Day,2,3
Ahmedabad,Mumbai,Same Day,2,3
Chennai,Ahmedabad,Standard,5,4
Bangalore,Kolkata,Standard,6,7
Delhi,Chennai,Standard,4,5
Mumbai,Delhi,Standard,3,2
Kolkata,Delhi,Same Day,6,5
Hyderabad,Ahmedabad,Standard,7,6
Hyderabad,Delhi,Express,3,2
Ahmedabad,Pune,Same Day,5,5
Hyderabad,Pune,Standard,4,4
Pune,Hyderabad,Express,2,2
Mumbai,Hyderabad,Standard,3,2
Ahmedabad,Kolkata,Express,5,4
Bangalore,Delhi,Standard,4,5
Pune,Pune,Same Day,6,7
Ahmedabad,Hyderabad,Same Day,6,6
Mumbai,Kolkata,Express,5,5
Mumbai,Bangalore,Standard,3,4
Chennai,Chennai,Standard,6,6
Hyderabad,Pune,Express,2,1
Delhi,Kolkata,Express,3,4
Kolkata,Ahmedabad,Same Day,2,2
Bangalore,Chennai,Express,3,3
Pune,Ahmedabad,Express,3,2
Ahmedabad,Ahmedabad,Standard,6,7
Hyderabad,Chennai,Same Day,3,2
Bangalore,Mumbai,Express,5,6
Ahmedabad,Bangalore,Express,5,5
Ahmedabad,Ahmedabad,Express,2,3
Ahmedabad,Delhi,Standard,4,3
Delhi,Kolkata,Same Day,4,3
Chennai,Mumbai,Same Day,6,5
Ahmedabad,Mumbai,Express,1,2
Bangalore,Kolkata,Express,4,5
Mumbai,Hyderabad,Standard,4,4
Chennai,Chennai,Same Day,3,2
Bangalore,Bangalore,Express,1,1
Ahmedabad,Ahmedabad,Express,6,7
Kolkata,Hyderabad,Express,4,3
Pune,Hyderabad,Same Day,5,4
Ahmedabad,Ahmedabad,Express,1,1
Ahmedabad,Chennai,Express,7,6
Bangalore,Mumbai,Same Day,7,7
Chennai,Mumbai,Express,1,1
Ahmedabad,Bangalore,Express,1,2
Chennai,Hyderabad,Same Day,5,6
Chennai,Hyderabad,Express,2,1
Ahmedabad,Chennai,Standard,4,5
Delhi,Delhi,Standard,2,3
Kolkata,Mumbai,Same Day,2,3
Bangalore,Mumbai,Same Day,5,4
Ahmedabad,Delhi,Same Day,5,4
Hyderabad,Ahmedabad,Standard,4,3
Pune,Delhi,Express,6,7
Chennai,Bangalore,Same Day,3,2
Pune,Hyderabad,Same Day,6,7
Ahmedabad,Hyderabad,Standard,3,2
Mumbai,Bangalore,Standard,3,2
Chennai,Chennai,Standard,1,1
Delhi,Kolkata,Standard,7,7
Ahmedabad,Chennai,Same Day,4,5
Chennai,Hyderabad,Same Day,3,4
Delhi,Kolkata,Standard,6,7
Kolkata,Bangalore,Express,5,4
Pune,Pune,Standard,5,5
Hyderabad,Kolkata,Express,7,6
Mumbai,Kolkata,Standard,3,3
Kolkata,Delhi,Same Day,1,1
Bangalore,Mumbai,Same Day,7,7
Hyderabad,Bangalore,Same Day,7,7
Pune,Bangalore,Express,5,6
Hyderabad,Pune,Express,2,2
Hyderabad,Pune,Express,3,4
Delhi,Bangalore,Express,4,5
Bangalore,Delhi,Same Day,2,3
Kolkata,Kolkata,Same Day,4,5
Chennai,Kolkata,Same Day,7,7
Kolkata,Ahmedabad,Express,1,2
Ahmedabad,Hyderabad,Express,1,1
Hyderabad,Ahmedabad,Same Day,4,5
Mumbai,Ahmedabad,Same Day,4,5
Hyderabad,Mumbai,Same Day,6,7
Pune,Ahmedabad,Express,5,4
Delhi,Pune,Standard,5,6
Delhi,Chennai,Same Day,3,3
Hyderabad,Pune,Standard,2,1
Pune,Mumbai,Same Day,3,2
Kolkata,Hyderabad,Standard,6,5
Bangalore,Delhi,Same Day,3,2
Chennai,Bangalore,Standard,4,5
Mumbai,Hyderabad,Express,3,4
Chennai,Mumbai,Express,1,1
Ahmedabad,Pune,Express,4,4
Kolkata,Bangalore,Same Day,3,4
Delhi,Hyderabad,Express,3,2
Mumbai,Pune,Standard,4,3
Mumbai,Pune,Express,6,5
Mumbai,Mumbai,Express,5,5
Bangalore,Kolkata,Same Day,4,4
Kolkata,Chennai,Same Day,7,8
Delhi,Mumbai,Same Day,5,6
Bangalore,Bangalore,Standard,5,6
Hyderabad,Ahmedabad,Standard,6,6
Chennai,Delhi,Same Day,2,2
Hyderabad,Ahmedabad,Same Day,3,2
Kolkata,Chennai,Express,3,4
Delhi,Mumbai,Express,4,4
Delhi,Kolkata,Standard,7,8
Bangalore,Hyderabad,Express,5,5
Bangalore,Ahmedabad,Express,2,3
Mumbai,Kolkata,Same Day,6,6
Hyderabad,Delhi,Standard,2,1
Bangalore,Pune,Same Day,5,4
Chennai,Bangalore,Standard,5,5
Pune,Hyderabad,Express,1,1
Mumbai,Hyderabad,Standard,4,4
Mumbai,Mumbai,Standard,4,3
Pune,Hyderabad,Same Day,1,2
Delhi,Ahmedabad,Standard,2,2
Bangalore,Hyderabad,Express,7,7
Mumbai,Delhi,Same Day,7,6
Hyderabad,Hyderabad,Standard,3,3
Delhi,Pune,Standard,5,6
Ahmedabad,Bangalore,Standard,1,2
Pune,Pune,Same Day,6,6
Chennai,Ahmedabad,Standard,4,4
Chennai,Pune,Standard,4,4
Ahmedabad,Ahmedabad,Express,2,1
Mumbai,Chennai,Standard,6,7
Pune,Hyderabad,Express,2,3
Hyderabad,Pune,Express,7,6
Pune,Delhi,Same Day,4,3
Pune,Delhi,Express,3,2
Delhi,Delhi,Express,3,4
Hyderabad,Bangalore,Standard,6,6
Ahmedabad,Pune,Standard,5,4
Hyderabad,Pune,Express,4,3
Bangalore,Mumbai,Express,1,2
Chennai,Hyderabad,Standard,3,3
Mumbai,Hyderabad,Express,2,3
Ahmedabad,Ahmedabad,Express,2,1
Bangalore,Bangalore,Same Day,5,6
Chennai,Chennai,Same Day,2,3
Delhi,Hyderabad,Same Day,2,3
Kolkata,Pune,Same Day,7,7
Bangalore,Ahmedabad,Standard,3,2
Hyderabad,Chennai,Same Day,6,5
Mumbai,Bangalore,Standard,2,1
Delhi,Chennai,Express,3,2
Mumbai,Ahmedabad,Standard,4,5
Bangalore,Kolkata,Express,5,5
Delhi,Hyderabad,Standard,2,3
Chennai,Pune,Express,3,4
Mumbai,Delhi,Express,7,8
Ahmedabad,Mumbai,Standard,2,2
Chennai,Delhi,Express,6,7
Chennai,Bangalore,Standard,5,5
Delhi,Bangalore,Same Day,5,4
Bangalore,Pune,Standard,6,6
Hyderabad,Hyderabad,Express,4,5
Ahmedabad,Mumbai,Express,1,1
Delhi,Mumbai,Express,2,3
Hyderabad,Bangalore,Same Day,2,2
Mumbai,Ahmedabad,Express,7,6
Kolkata,Kolkata,Standard,1,1
Mumbai,Chennai,Express,1,1
Bangalore,Mumbai,Standard,2,1
Mumbai,Ahmedabad,Same Day,5,5
Hyderabad,Mumbai,Express,3,4
Delhi,Bangalore,Express,5,5
Delhi,Delhi,Same Day,5,5
Chennai,Ahmedabad,Standard,5,5
Ahmedabad,Chennai,Standard,1,2
Chennai,Chennai,Same Day,6,5
Ahmedabad,Delhi,Same Day,4,5
Delhi,Delhi,Express,6,6
Hyderabad,Ahmedabad,Standard,5,6
Bangalore,Chennai,Standard,5,6
Kolkata,Chennai,Same Day,7,6
Bangalore,Ahmedabad,Same Day,1,2
Ahmedabad,Chennai,Same Day,5,6
Ahmedabad,Ahmedabad,Express,1,1
Pune,Mumbai,Same Day,4,5
Bangalore,Ahmedabad,Same Day,7,6
Delhi,Bangalore,Same Day,5,6
Hyderabad,Ahmedabad,Express,5,4
Hyderabad,Ahmedabad,Express,6,6
Bangalore,Kolkata,Same Day,4,3
Mumbai,Pune,Same Day,4,5
Ahmedabad,Delhi,Same Day,1,2
Bangalore,Ahmedabad,Standard,2,2
Ahmedabad,Mumbai,Express,1,1
Hyderabad,Kolkata,Same Day,1,1
Ahmedabad,Delhi,Express,1,1
Kolkata,Delhi,Express,1,1
Delhi,Mumbai,Express,6,5
Pune,Delhi,Same Day,3,2
Bangalore,Hyderabad,Same Day,3,4
Delhi,Ahmedabad,Same Day,7,6
Hyderabad,Bangalore,Same Day,5,4
Pune,Bangalore,Express,1,1
Chennai,Hyderabad,Same Day,6,5
Ahmedabad,Kolkata,Express,2,2
Chennai,Bangalore,Standard,3,3
Mumbai,Delhi,Same Day,7,6
Ahmedabad,Ahmedabad,Standard,2,3
Pune,Mumbai,Express,3,4
Chennai,Mumbai,Express,5,4
Kolkata,Mumbai,Standard,4,5
Delhi,Mumbai,Standard,1,1
Delhi,Delhi,Same Day,3,2
Chennai,Kolkata,Same Day,6,5
Hyderabad,Hyderabad,Express,1,1
Kolkata,Chennai,Same Day,4,3
Ahmedabad,Mumbai,Express,7,6
Bangalore,Pune,Standard,7,7
Kolkata,Hyderabad,Express,1,1
Bangalore,Bangalore,Express,7,8
Kolkata,Pune,Same Day,3,2
Bangalore,Hyderabad,Express,7,8
Pune,Delhi,Same Day,2,3
Ahmedabad,Kolkata,Same Day,4,5
Hyderabad,Delhi,Standard,7,8
Bangalore,Chennai,Standard,2,3
Ahmedabad,Ahmedabad,Same Day,2,3
Delhi,Ahmedabad,Express,3,4
Mumbai,Delhi,Express,2,3
Pune,Mumbai,Express,2,2
Pune,Mumbai,Express,3,3
Kolkata,Mumbai,Express,3,3
Delhi,Chennai,Standard,6,6
Ahmedabad,Mumbai,Same Day,5,6
Kolkata,Delhi,Express,6,5
Bangalore,Hyderabad,Standard,3,4
Hyderabad,Ahmedabad,Standard,7,8
Mumbai,Delhi,Same Day,7,8
Mumbai,Bangalore,Express,7,8
Hyderabad,Chennai,Express,1,2
Chennai,Chennai,Same Day,7,8
Hyderabad,Hyderabad,Express,6,7
Pune,Ahmedabad,Same Day,5,4
Bangalore,Mumbai,Standard,7,7
Kolkata,Mumbai,Same Day,7,7
Mumbai,Bangalore,Same Day,6,7
Kolkata,Kolkata,Same Day,4,5
Chennai,Bangalore,Same Day,2,2
Kolkata,Kolkata,Same Day,4,4
Hyderabad,Chennai,Standard,1,2
Mumbai,Hyderabad,Express,6,7
Mumbai,Bangalore,Standard,3,4
Ahmedabad,Bangalore,Standard,3,3
Delhi,Chennai,Standard,6,6
Bangalore,Hyderabad,Express,6,5
Bangalore,Ahmedabad,Standard,7,6
Hyderabad,Delhi,Same Day,3,4
Chennai,Chennai,Express,7,6
Hyderabad,Chennai,Standard,1,1
Delhi,Chennai,Standard,7,6
Kolkata,Hyderabad,Express,3,2
Bangalore,Delhi,Standard,7,6
Mumbai,Bangalore,Standard,1,2
Chennai,Ahmedabad,Standard,3,3
Mumbai,Delhi,Same Day,1,1
Mumbai,Hyderabad,Express,3,4
Delhi,Pune,Same Day,1,1
Chennai,Chennai,Standard,6,7
Delhi,Mumbai,Standard,6,7
Delhi,Ahmedabad,Express,1,1
Delhi,Delhi,Standard,1,1
Delhi,Kolkata,Standard,2,2
Chennai,Chennai,Standard,5,4
Kolkata,Mumbai,Same Day,1,1
Chennai,Pune,Same Day,6,5
Bangalore,Hyderabad,Same Day,5,6
Chennai,Hyderabad,Standard,3,4
Ahmedabad,Mumbai,Standard,7,7
Bangalore,Chennai,Same Day,6,7
Kolkata,Delhi,Same Day,3,2
Mumbai,Bangalore,Same Day,2,2
Chennai,Delhi,Same Day,3,4
Hyderabad,Chennai,Same Day,7,7
Pune,Hyderabad,Same Day,1,2
Chennai,Mumbai,Express,1,1
Ahmedabad,Delhi,Same Day,3,4
Kolkata,Hyderabad,Express,5,5
Bangalore,Kolkata,Express,4,3
Chennai,Hyderabad,Standard,4,5
Pune,Hyderabad,Express,6,5
Bangalore,Ahmedabad,Same Day,1,1
Delhi,Chennai,Standard,4,4
Chennai,Chennai,Express,2,1
Mumbai,Hyderabad,Express,1,1
Kolkata,Bangalore,Express,6,5
Pune,Ahmedabad,Same Day,7,8
Chennai,Hyderabad,Standard,7,8
Kolkata,Chennai,Standard,4,3
Kolkata,Bangalore,Same Day,6,5
Mumbai,Ahmedabad,Express,1,1
Delhi,Bangalore,Standard,5,6
Ahmedabad,Mumbai,Standard,6,6
Ahmedabad,Delhi,Express,6,5
Ahmedabad,Pune,Standard,1,1
Delhi,Pune,Express,4,3
Ahmedabad,Mumbai,Standard,5,4
Delhi,Chennai,Same Day,4,5
Delhi,Mumbai,Express,5,5
Pune,Mumbai,Standard,2,1
Bangalore,Chennai,Same Day,5,4
Bangalore,Hyderabad,Same Day,5,5
Pune,Hyderabad,Express,4,4
Mumbai,Pune,Same Day,4,4
Bangalore,Ahmedabad,Same Day,7,6
Delhi,Mumbai,Same Day,2,1
Bangalore,Bangalore,Express,4,4
Chennai,Mumbai,Express,1,2
Pune,Kolkata,Express,1,1
Pune,Delhi,Standard,1,2
Hyderabad,Bangalore,Express,7,6
Ahmedabad,Pune,Express,2,1
Hyderabad,Delhi,Same Day,7,6
Bangalore,Chennai,Same Day,4,5
Pune,Ahmedabad,Standard,4,4
Bangalore,Pune,Standard,4,3
Ahmedabad,Kolkata,Same Day,3,4
Pune,Hyderabad,Same Day,3,3
Kolkata,Chennai,Express,3,4
Chennai,Kolkata,Same Day,1,1
Chennai,Kolkata,Standard,3,4
Pune,Pune,Express,3,4
Mumbai,Chennai,Standard,5,4
Ahmedabad,Mumbai,Same Day,4,3
Pune,Mumbai,Express,4,4
Mumbai,Ahmedabad,Standard,7,7
Chennai,Kolkata,Same Day,1,1
Pune,Ahmedabad,Same Day,7,8
Hyderabad,Ahmedabad,Same Day,4,3
Delhi,Mumbai,Same Day,7,7
Ahmedabad,Kolkata,Standard,3,3
Chennai,Bangalore,Express,3,4
Mumbai,Kolkata,Express,2,3
Chennai,Kolkata,Standard,7,8
Kolkata,Mumbai,Express,7,6
Hyderabad,Mumbai,Express,3,3
Pune,Kolkata,Same Day,6,5
Hyderabad,Pune,Same Day,4,3
Ahmedabad,Ahmedabad,Express,1,1
Ahmedabad,Ahmedabad,Same Day,5,5
Kolkata,Bangalore,Same Day,3,2
Hyderabad,Ahmedabad,Standard,5,5
Pune,Pune,Express,2,2
Bangalore,Chennai,Same Day,6,6
Hyderabad,Kolkata,Standard,7,6
Hyderabad,Kolkata,Standard,3,2
Chennai,Mumbai,Standard,6,5
Chennai,Delhi,Same Day,1,1
Pune,Delhi,Standard,7,7
Ahmedabad,Bangalore,Same Day,3,3
Chennai,Bangalore,Same Day,7,6
Delhi,Pune,Express,1,2
Mumbai,Chennai,Standard,1,1
Chennai,Hyderabad,Same Day,3,2
Ahmedabad,Ahmedabad,Standard,3,3
Pune,Pune,Standard,6,7
Ahmedabad,Hyderabad,Express,1,2
Mumbai,Ahmedabad,Express,2,3
Hyderabad,Delhi,Express,1,1
Chennai,Delhi,Express,1,1
Pune,Delhi,Same Day,6,7
Bangalore,Chennai,Standard,1,2
Mumbai,Pune,Express,7,8
Delhi,Bangalore,Express,7,6
Hyderabad,Chennai,Standard,3,4
Delhi,Ahmedabad,Same Day,5,4
Delhi,Chennai,Standard,3,4
Hyderabad,Chennai,Standard,6,6
Ahmedabad,Pune,Same Day,5,5
Ahmedabad,Pune,Standard,1,1
Bangalore,Ahmedabad,Same Day,1,2
Delhi,Bangalore,Same Day,6,6
Ahmedabad,Hyderabad,Express,3,2
Ahmedabad,Delhi,Same Day,5,5
Chennai,Kolkata,Standard,4,4
Kolkata,Delhi,Standard,2,3
Hyderabad,Kolkata,Express,6,6
